symbol,contract_id,direction,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
UAIUSDC,30000131,LONG,2026-08-24T18:30:00+00:00,0.3517,0.3452020992556827,0.37652727773482236,3.820815169658413,True,2026-08-25T01:30:00+00:00,TP1_THEN_SL,0.5,0.0,0.3498,0.007195801488634602,0.022290889060710584
QQQUSDC,30000011,SHORT,2026-08-24T18:45:00+00:00,708.99,710.6259257659584,704.2900398737191,2.87296662481956,False,2026-08-25T06:00:00+00:00,SL,-1.0,0.0,709.88,1.1118515319167506,3.0001594948766934
SKUUUSDC,30000141,SHORT,2026-08-24T18:45:00+00:00,21.35,21.685152621757304,20.24693934856749,3.291218924825483,True,2026-08-25T00:15:00+00:00,TP1_THEN_TP2,2.6456094624127413,0.0,21.55,0.27030524351460317,0.9877573942699589
SNXXUSDC,30000119,SHORT,2026-08-24T18:45:00+00:00,13.23,13.54128573013717,11.833124615360202,4.487437904796524,True,2026-08-25T05:45:00+00:00,TP1_THEN_SL,0.5,0.0,13.31,0.2425714602743427,0.6924984614408027
WDCUSDC,30000150,SHORT,2026-08-24T18:45:00+00:00,438.37,441.99999549997267,423.5130419099832,4.092830993903072,True,2026-08-25T04:45:00+00:00,TP1_THEN_SL,0.5,0.0,440.63,2.7399909999453094,9.012167639932777
KOUSDC,30000129,LONG,2026-08-24T19:00:00+00:00,91.66,91.41030636122606,92.37486455446353,2.8629666257166893,False,2026-08-24T22:45:00+00:00,TP,2.8629666257166893,0.0,91.6,0.2993872775478682,0.9805417821459292
NAVERUSDC,30000145,LONG,2026-08-24T19:00:00+00:00,162.65,161.9533329207816,167.9329256170177,7.583142328104088,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.3933341584368035,2.1082975319292543
SKUUUSDC,30000141,SHORT,2026-08-24T19:00:00+00:00,21.28,21.682279973959563,20.24693934856749,2.5680141153045715,False,2026-08-25T00:15:00+00:00,TP,2.5680141153045715,0.0,21.55,0.2645599479191259,0.9877573942699589
SNXXUSDC,30000119,SHORT,2026-08-24T19:00:00+00:00,13.12,13.536553494470848,11.833124615360202,3.0893400288827872,True,2026-08-25T05:45:00+00:00,SL,-1.0,0.0,13.31,0.23310698894169507,0.6924984614408027
SOXLUSDC,30000088,SHORT,2026-08-24T19:00:00+00:00,111.81,113.96712044716315,107.24381538946673,2.116796313594032,False,2026-08-25T04:15:00+00:00,SL,-1.0,0.0,112.45,1.3542408943263002,3.8152615578669242
SOXSUSDC,30000090,LONG,2026-08-24T19:00:00+00:00,50.43,49.650535648676794,52.40056505076226,2.5281015705427214,False,2026-08-25T03:45:00+00:00,SL,-1.0,0.0,50.25,0.49892870264641076,1.3577397969509626
WDCUSDC,30000150,SHORT,2026-08-24T19:00:00+00:00,436.95,441.95679622868965,423.5130419099832,2.683743750748448,False,2026-08-25T04:45:00+00:00,SL,-1.0,0.0,440.63,2.653592457379299,9.012167639932777
XAUUSDC,30000005,LONG,2026-08-24T19:00:00+00:00,4640.1,4622.49922669551,4676.699896771888,2.0794482230249263,False,2026-08-24T23:30:00+00:00,TP,2.0794482230249263,0.0,4634.8,12.401546608980583,27.200412912446435
SNXXUSDC,30000119,SHORT,2026-08-24T19:15:00+00:00,13.08,13.533944296262566,11.833124615360202,2.7467585668674026,False,2026-08-25T05:45:00+00:00,SL,-1.0,0.0,13.31,0.2278885925251338,0.6924984614408027
VIRTUALUSDC,30000075,LONG,2026-08-24T19:15:00+00:00,0.7814,0.7664739985172871,0.8247652838491413,2.9053517044981256,False,2026-08-25T02:45:00+00:00,TP,2.9053517044981256,0.0,0.7784,0.011652002965425779,0.03693886460343454
WDCUSDC,30000150,SHORT,2026-08-24T19:15:00+00:00,436.86,441.9027546157534,423.5130419099832,2.6467593819301465,False,2026-08-25T04:45:00+00:00,SL,-1.0,0.0,440.63,2.5455092315067485,9.012167639932777
SKUUUSDC,30000141,SHORT,2026-08-24T19:30:00+00:00,21.2,21.671327886465473,20.24693934856749,2.022075669189845,False,2026-08-25T00:15:00+00:00,TP,2.022075669189845,0.0,21.55,0.2426557729309462,0.9877573942699589
SNXXUSDC,30000119,SHORT,2026-08-24T19:30:00+00:00,13.03,13.529735187528361,11.833124615360202,2.395019231204067,False,2026-08-25T05:45:00+00:00,SL,-1.0,0.0,13.31,0.2194703750567236,0.6924984614408027
SOXLUSDC,30000088,SHORT,2026-08-24T19:30:00+00:00,112.02,113.92495816539346,107.24381538946673,2.5072385826104213,False,2026-08-25T04:15:00+00:00,SL,-1.0,0.0,112.45,1.2699163307869235,3.8152615578669242
VIRTUALUSDC,30000075,LONG,2026-08-24T19:30:00+00:00,0.7835,0.7665865101446819,0.8247652838491413,2.439785295768893,False,2026-08-25T02:45:00+00:00,TP,2.439785295768893,0.0,0.7784,0.011426979710636038,0.03693886460343454
LITUSDC,30000042,LONG,2026-08-24T19:45:00+00:00,3.4273,3.2878345367091204,3.7235087092015067,2.123885743552956,False,2026-08-25T21:00:00+00:00,SL,-1.0,0.0,3.4145,0.048130926581759124,0.2055651631939732
LITUSDC,30000042,LONG,2026-08-24T20:30:00+00:00,3.4499,3.33792114419595,3.7241277299728277,2.448924200946422,False,2026-08-25T19:00:00+00:00,SL,-1.0,0.0,3.4145,0.046757711608099495,0.2030890801086894
SNXXUSDC,30000119,SHORT,2026-08-24T20:30:00+00:00,13.01,13.42066583932043,11.834865714263044,2.8615340581567943,False,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,13.31,0.22133167864085787,0.699462857052174
VIRTUALUSDC,30000075,LONG,2026-08-24T20:45:00+00:00,0.7826,0.7642700466872785,0.8244749064313455,2.2845069879301447,False,2026-08-25T02:45:00+00:00,TP,2.2845069879301447,0.0,0.7784,0.010459906625442958,0.038100374274617786
SNXXUSDC,30000119,SHORT,2026-08-24T21:00:00+00:00,12.97,13.410304900170958,11.834865714263044,2.578064167117416,False,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,13.31,0.20060980034191472,0.699462857052174
HANMIUSDC,30000147,SHORT,2026-08-24T21:30:00+00:00,153.11,153.62444461080045,151.11676159549387,3.8745442418082843,True,2026-08-24T23:15:00+00:00,TP1_THEN_TP2,2.937272120904142,0.0,153.37,0.508889221600879,2.387046381975388
TENCENTUSDC,30000103,SHORT,2026-08-24T21:30:00+00:00,56.9,57.01898867499525,56.27162220024761,5.280988293864662,True,2026-08-25T00:00:00+00:00,SL,-1.0,0.0,56.95,0.1379773499904918,0.526488800990451
HANMIUSDC,30000147,SHORT,2026-08-24T22:00:00+00:00,153.14,153.6065828209334,151.11676159549387,4.336289965538329,True,2026-08-24T23:15:00+00:00,TP1_THEN_TP2,3.1681449827691646,0.0,153.37,0.4731656418667658,2.387046381975388
HANMIUSDC,30000147,SHORT,2026-08-24T22:15:00+00:00,153.06,153.59939431638765,151.11676159549387,3.6026304791643344,True,2026-08-24T23:15:00+00:00,TP1_TP2_SAME_CANDLE,2.801315239582167,0.0,153.37,0.4587886327753048,2.387046381975388
TENCENTUSDC,30000103,SHORT,2026-08-24T22:15:00+00:00,56.92,57.006851724355585,56.27162220024761,7.465341702345957,True,2026-08-25T00:00:00+00:00,SL,-1.0,0.0,56.95,0.11370344871116154,0.526488800990451
UAIUSDC,30000131,LONG,2026-08-24T22:15:00+00:00,0.3525,0.34659228975841905,0.37644675789662074,4.053475359721179,True,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.006415420483161926,0.02261296841351697
TENCENTUSDC,30000103,SHORT,2026-08-24T22:45:00+00:00,56.93,57.00040146401495,56.27162220024761,9.3517629067001,True,2026-08-25T00:00:00+00:00,SL,-1.0,0.0,56.95,0.10080292802989055,0.526488800990451
UAIUSDC,30000131,LONG,2026-08-24T23:15:00+00:00,0.3529,0.3468226752248433,0.37644675789662074,3.8745268301073423,True,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.005954649550313425,0.02261296841351697
CRWVUSDC,30000031,SHORT,2026-08-24T23:45:00+00:00,85.49,86.33830825776255,83.6582001695197,2.1593563586328117,False,2026-08-25T01:45:00+00:00,SL,-1.0,0.0,85.72,0.3166165155250961,1.5528006780788315
LITEUSDC,30000033,SHORT,2026-08-24T23:45:00+00:00,825.48,830.2135745844965,790.8469538084247,7.316467834901347,True,2026-08-25T01:45:00+00:00,SL,-1.0,0.0,826.18,3.047149168992912,19.587815233698468
UAIUSDC,30000131,LONG,2026-08-24T23:45:00+00:00,0.351,0.34579621229604934,0.37644675789662074,4.890045356251174,True,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.005807575407901294,0.02261296841351697
LITEUSDC,30000033,SHORT,2026-08-25T00:00:00+00:00,825.28,830.0106670299774,790.6494928221086,7.320427956236117,True,2026-08-25T01:00:00+00:00,SL,-1.0,0.0,826.18,2.9613340599547677,18.79797128843429
UAIUSDC,30000131,LONG,2026-08-25T00:00:00+00:00,0.3519,0.34594646266710305,0.37659520376114786,4.147988394175633,True,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.00550707466579393,0.022019184955408614
