setup_key,symbol,contract_id,direction,breakout_time_utc,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
30000026:roll:HOUR_4:1780401600000:down,CRCLUSDC,30000026,SHORT,2026-06-02T12:00:00+00:00,2026-06-03T06:15:00+00:00,101.51,102.16602683735455,99.16774809682217,3.570359884395986,True,2026-06-03T06:45:00+00:00,SL,-1.0,0.0,101.87,0.592053674709099,2.3909923872886627
30000042:roll:HOUR_4:1780473600000:up,LITUSDC,30000042,LONG,2026-06-03T08:00:00+00:00,2026-06-03T16:15:00+00:00,1.6977,1.6519942812074544,1.7951334655048214,2.1317565521081456,False,2026-06-03T17:15:00+00:00,SL,-1.0,0.0,1.6878,0.03901143758509097,0.10866613798071414
30000034:roll:HOUR_4:1780502400000:up,SNDKUSDC,30000034,LONG,2026-06-03T16:00:00+00:00,2026-06-03T21:00:00+00:00,1803.45,1783.6685970516496,1848.3174375980648,2.268162562342739,False,2026-06-03T21:15:00+00:00,SL,-1.0,0.0,1803.26,16.24280589670051,38.370249607741016
30000019:roll:HOUR_4:1780444800000:up,EWJUSDC,30000019,LONG,2026-06-03T00:00:00+00:00,2026-06-03T22:00:00+00:00,93.83,93.51532382987008,94.71929360929208,2.8260595930252266,False,2026-06-04T00:15:00+00:00,SL,-1.0,0.0,93.58,0.1293523402598296,0.7228255628317196
30000006:roll:HOUR_4:1780488000000:down,XAGUSDC,30000006,SHORT,2026-06-03T12:00:00+00:00,2026-06-04T01:30:00+00:00,73.61,73.99490203917196,72.69235587290359,2.384097857913491,False,2026-06-04T11:45:00+00:00,SL,-1.0,0.0,73.87,0.24980407834392035,0.9294234916144098
30000021:roll:HOUR_4:1780473600000:up,AMDUSDC,30000021,LONG,2026-06-03T08:00:00+00:00,2026-06-04T02:30:00+00:00,531.48,528.0264163232547,543.6001710371065,3.509447626451783,True,2026-06-04T08:15:00+00:00,SL,-1.0,0.0,531.25,3.1671673534905445,11.759315851573621
30000003:roll:HOUR_4:1780516800000:down,SOLUSDC,30000003,SHORT,2026-06-03T20:00:00+00:00,2026-06-04T04:00:00+00:00,71.37,71.97402597593351,67.27311810204789,6.782625352528038,True,2026-06-05T03:00:00+00:00,TP1_THEN_TP2,4.391312676264019,0.0,71.58,0.7880519518670283,2.1324724081915596
30000002:roll:HOUR_4:1780502400000:down,ETHUSDC,30000002,SHORT,2026-06-03T16:00:00+00:00,2026-06-04T04:30:00+00:00,1808.79,1824.1303327929904,1727.5982726399484,5.292696609368925,True,2026-06-05T02:45:00+00:00,TP1_THEN_TP2,3.6463483046844627,0.0,1814.87,16.840665585980826,47.35309055979328
30000045:roll:HOUR_4:1780531200000:down,ADAUSDC,30000045,SHORT,2026-06-04T00:00:00+00:00,2026-06-04T04:45:00+00:00,0.1994,0.20181754270974378,0.18940574764663284,4.134054100920662,True,2026-06-04T09:30:00+00:00,TP1_THEN_TP2,3.067027050460331,0.0,0.1998,0.0018350854194875475,0.006022990586531296
30000025:roll:HOUR_4:1780516800000:down,COINUSDC,30000025,SHORT,2026-06-03T20:00:00+00:00,2026-06-04T08:30:00+00:00,162.49,164.3039026395395,157.1810933376804,2.9267869987043014,False,2026-06-04T12:45:00+00:00,SL,-1.0,0.0,162.72,0.8478052790789953,3.924373350721709
30000029:roll:HOUR_4:1780488000000:down,MSFTUSDC,30000029,SHORT,2026-06-03T12:00:00+00:00,2026-06-04T12:15:00+00:00,432.95,434.7961588221139,425.5048022283473,4.032804589979797,True,2026-06-04T13:30:00+00:00,SL,-1.0,0.0,434.04,1.292317644227884,5.619208913388929
30000015:roll:HOUR_4:1780502400000:down,XPDUSDC,30000015,SHORT,2026-06-03T16:00:00+00:00,2026-06-04T12:45:00+00:00,1329.32,1337.110172000798,1309.6603893120105,2.523642698258195,False,2026-06-04T21:15:00+00:00,TP,2.523642698258195,0.0,1333.62,4.640344001596189,15.601557248041862
30000013:roll:HOUR_4:1780488000000:down,AMZNUSDC,30000013,SHORT,2026-06-03T12:00:00+00:00,2026-06-04T14:15:00+00:00,253.39,255.30707072182147,248.21944874032837,2.6971103365236604,False,2026-06-04T15:30:00+00:00,SL,-1.0,0.0,254.52,0.8141414436429465,2.31779496131359
30000026:roll:HOUR_4:1780516800000:down,CRCLUSDC,30000026,SHORT,2026-06-03T20:00:00+00:00,2026-06-04T22:45:00+00:00,90.17,90.88157042607702,87.97022043281186,3.0914432171047683,True,2026-06-05T09:30:00+00:00,TP1_THEN_SL,0.5,0.0,90.29,0.4631408521540162,3.1208817312474575
30000051:roll:HOUR_4:1780617600000:down,XRPUSDC,30000051,SHORT,2026-06-05T00:00:00+00:00,2026-06-05T08:00:00+00:00,1.1351,1.1459852791946465,1.0991555407618894,3.302116426723198,True,2026-06-05T14:15:00+00:00,TP1_THEN_TP2,2.651058213361599,0.0,1.1401,0.011770558389293456,0.032222163047557886
30000056:roll:HOUR_4:1780632000000:down,UNIUSDC,30000056,SHORT,2026-06-05T04:00:00+00:00,2026-06-05T09:45:00+00:00,2.54,2.5786801721493,2.4388290874403444,2.6155755504176725,False,2026-06-05T14:15:00+00:00,TP,2.6155755504176725,0.0,2.554,0.029360344298599936,0.09531634976137808
30000003:roll:HOUR_4:1780632000000:down,SOLUSDC,30000003,SHORT,2026-06-05T04:00:00+00:00,2026-06-05T10:30:00+00:00,66.45,67.0697033742601,64.38662112305506,3.329623433805784,True,2026-06-05T14:00:00+00:00,TP1_THEN_TP2,2.664811716902892,0.0,66.74,0.659406748520208,2.2264844922202722
30000048:roll:HOUR_4:1780660800000:down,TRXUSDC,30000048,SHORT,2026-06-05T12:00:00+00:00,2026-06-05T20:15:00+00:00,0.32099,0.321927008878133,0.3190218301567563,2.100481531365271,False,2026-06-05T20:30:00+00:00,SL,-1.0,0.0,0.32133,0.001174017756266008,0.004167320627025168
30000052:roll:HOUR_4:1780632000000:down,ZECUSDC,30000052,SHORT,2026-06-05T04:00:00+00:00,2026-06-05T21:00:00+00:00,368.4,393.155388705156,263.6165695249013,4.232752380627114,True,2026-06-05T23:30:00+00:00,SL,-1.0,0.0,386.3,13.71077741031196,51.26627809960519
30000047:roll:HOUR_4:1780632000000:down,CRVUSDC,30000047,SHORT,2026-06-05T04:00:00+00:00,2026-06-05T22:00:00+00:00,0.184,0.18727119819997673,0.17401940717562772,3.0510510871653285,True,2026-06-06T04:45:00+00:00,TP1_THEN_TP2,2.5255255435826642,0.0,0.186,0.0025423963999534594,0.008077628702510888
30000002:roll:HOUR_4:1780660800000:down,ETHUSDC,30000002,SHORT,2026-06-05T12:00:00+00:00,2026-06-05T22:00:00+00:00,1608.99,1630.1652335115898,1552.4008333288346,2.6724223201691086,False,2026-06-06T04:15:00+00:00,TP,2.6724223201691086,0.0,1621.63,17.07046702317928,55.323333315338424
30000049:roll:HOUR_4:1780675200000:down,OPUSDC,30000049,SHORT,2026-06-05T16:00:00+00:00,2026-06-05T23:15:00+00:00,0.0981,0.10007354723471516,0.09304491937401402,2.5614186157118217,False,2026-06-06T04:15:00+00:00,TP,2.5614186157118217,0.0,0.0987,0.0013470944694303154,0.0065796774960561
30000054:roll:HOUR_4:1780632000000:down,SUIUSDC,30000054,SHORT,2026-06-05T04:00:00+00:00,2026-06-06T01:15:00+00:00,0.7235,0.733739870354341,0.6793482903490907,4.311744985344695,True,2026-06-06T04:30:00+00:00,TP1_THEN_TP2,3.1558724926723474,0.0,0.7282,0.008879740708682136,0.034993161396363
30000001:roll:HOUR_4:1780660800000:down,BTCUSDC,30000001,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T01:45:00+00:00,61023.0,61597.53108210323,59482.520835082876,2.6812808095216827,False,2026-06-06T04:45:00+00:00,TP,2.6812808095216827,0.0,61060.1,411.2621642064627,1606.083340331514
30000014:roll:HOUR_4:1780660800000:down,MSTRUSDC,30000014,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T03:15:00+00:00,118.88,120.46605912562305,115.56176175966623,2.0921277061662282,False,2026-06-06T04:45:00+00:00,TP,2.0921277061662282,0.0,120.05,0.8321182512460964,4.727047038664941
30000031:roll:HOUR_4:1780704000000:down,CRWVUSDC,30000031,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T06:30:00+00:00,95.45,96.36759590209326,92.06897026594787,3.684660890855336,True,2026-06-06T12:45:00+00:00,TP1_THEN_SL,0.5,0.0,95.54,1.115191804186517,4.115881063791457
30000012:roll:HOUR_4:1780704000000:down,AAPLUSDC,30000012,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T06:45:00+00:00,306.64,307.4801331769765,303.58280855993115,3.6389366874798714,True,2026-06-06T07:45:00+00:00,TP1_THEN_TP2,2.8194683437399357,0.0,306.66,0.7202663539529909,2.7712342397247567
30000032:roll:HOUR_4:1780704000000:down,INTCUSDC,30000032,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T06:45:00+00:00,96.39,97.00219363850515,93.93997381451238,4.0020445025696185,True,2026-06-06T12:30:00+00:00,TP1_THEN_SL,0.5,0.0,96.7,0.6043872770102928,3.319895258049566
30000043:roll:HOUR_4:1780675200000:down,TRUMPUSDC,30000043,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T06:45:00+00:00,1.578,1.5966496163001775,1.5387730913749775,2.103362771310702,False,2026-06-06T10:45:00+00:00,TP,2.103362771310702,0.0,1.584,0.019299232600355255,0.0790923654999101
30000015:roll:HOUR_4:1780704000000:down,XPDUSDC,30000015,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T06:45:00+00:00,1216.17,1220.4311083281743,1193.3024694987512,5.366568681216057,True,2026-06-06T11:15:00+00:00,SL,-1.0,0.0,1217.96,4.942216656348761,21.92987799500501
30000045:roll:HOUR_4:1780660800000:down,ADAUSDC,30000045,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T08:00:00+00:00,0.1573,0.1591066047545999,0.15056100670098924,3.730197920631075,True,2026-06-06T08:30:00+00:00,SL,-1.0,0.0,0.1581,0.0018132095091997948,0.007844026803956914
30000053:roll:HOUR_4:1780660800000:down,DOGEUSDC,30000053,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T08:00:00+00:00,0.08145,0.082410587885341,0.07834643065709393,3.2309061880416086,True,2026-06-06T09:00:00+00:00,SL,-1.0,0.0,0.08199,0.0008411757706820247,0.00290572262837573
30000007:roll:HOUR_4:1780704000000:down,COPPERUSDC,30000007,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T08:15:00+00:00,6.243,6.2627096516555065,6.200355611469955,2.1636297421893915,False,2026-06-06T09:15:00+00:00,SL,-1.0,0.0,6.253,0.01341930331101185,0.06942244587982085
30000065:roll:HOUR_4:1780675200000:down,ARBUSDC,30000065,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T08:45:00+00:00,0.0799,0.08069251702609384,0.07496704043354491,6.224420932340929,True,2026-06-06T14:15:00+00:00,TP1_THEN_SL,0.5,0.0,0.0803,0.000785034052187701,0.0038681617341796517
30000003:roll:HOUR_4:1780675200000:down,SOLUSDC,30000003,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T08:45:00+00:00,63.29,64.04615966616254,60.67091662389347,3.463664478956156,True,2026-06-07T05:00:00+00:00,TP1_THEN_SL,0.5,0.0,63.73,0.6323193323250712,2.4836664955738934
30000026:roll:HOUR_4:1780718400000:down,CRCLUSDC,30000026,SHORT,2026-06-06T04:00:00+00:00,2026-06-06T09:00:00+00:00,78.31,79.03739275442064,76.65868364966018,2.2701853163977326,False,2026-06-07T01:30:00+00:00,SL,-1.0,0.0,78.46,0.5747855088412719,3.114734598640706
30000035:roll:HOUR_4:1780689600000:down,MUUSDC,30000035,SHORT,2026-06-05T20:00:00+00:00,2026-06-06T09:15:00+00:00,864.61,871.990259199202,843.1890517463495,2.9024655741043253,False,2026-06-06T12:30:00+00:00,SL,-1.0,0.0,868.2,6.140518398404033,32.7562069853979
30000011:roll:HOUR_4:1780704000000:down,QQQUSDC,30000011,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T09:45:00+00:00,700.51,704.3250684036873,690.4849030960588,2.627763343444077,False,2026-06-06T12:15:00+00:00,SL,-1.0,0.0,700.74,2.270136807374476,6.899612384235505
30000060:roll:HOUR_4:1780660800000:down,BCHUSDC,30000060,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T10:15:00+00:00,219.92,226.23822085217878,204.61269667361682,2.422723688283948,False,2026-06-07T06:45:00+00:00,SL,-1.0,0.0,220.02,2.7164417043575924,10.930786694467312
30000064:roll:HOUR_4:1780675200000:down,DOTUSDC,30000064,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T11:15:00+00:00,0.935,0.9467527845079166,0.8969431144238299,3.238116511924097,True,2026-06-06T12:00:00+00:00,SL,-1.0,0.0,0.942,0.009505569015833106,0.04377245769531971
30000020:roll:HOUR_4:1780704000000:down,NVDAUSDC,30000020,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T11:45:00+00:00,203.63,204.50862422653688,200.95888362813386,3.0401123611107232,True,2026-06-06T12:15:00+00:00,SL,-1.0,0.0,203.92,0.7172484530737389,3.5555345125354654
30000055:roll:HOUR_4:1780660800000:down,LINKUSDC,30000055,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T12:30:00+00:00,7.289,7.36741211024372,7.063246777901507,2.879060662910457,False,2026-06-06T13:00:00+00:00,SL,-1.0,0.0,7.334,0.050824220487439786,0.2809871116060286
30000021:roll:HOUR_4:1780704000000:down,AMDUSDC,30000021,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T13:30:00+00:00,456.5,458.41964744032236,438.9235818825814,9.15606571718555,True,2026-06-07T02:15:00+00:00,TP1_THEN_SL,0.5,0.0,457.09,2.639294880644726,14.414327530325624
30000038:roll:HOUR_4:1780704000000:down,TSMUSDC,30000038,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T13:30:00+00:00,405.19,406.5315050149704,396.117827500506,6.762682508268007,True,2026-06-06T14:30:00+00:00,SL,-1.0,0.0,405.3,1.2430100299407163,8.351310002024016
30000013:roll:HOUR_4:1780704000000:down,AMZNUSDC,30000013,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T13:45:00+00:00,244.99,245.58238120217976,242.72634746847928,3.821276777843894,True,2026-06-06T20:45:00+00:00,SL,-1.0,0.0,245.36,0.4447624043594719,2.585389873917084
30000069:roll:HOUR_4:1780675200000:down,FILUSDC,30000069,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T16:15:00+00:00,0.725,0.7330729473192958,0.6819969468024425,5.326809589698683,True,2026-06-07T00:45:00+00:00,SL,-1.0,0.0,0.73,0.00614589463859175,0.0439877872097696
30000059:roll:HOUR_4:1780675200000:down,AAVEUSDC,30000059,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T16:30:00+00:00,60.12,60.91706873000541,58.5220502825621,2.004782846552073,False,2026-06-06T18:30:00+00:00,SL,-1.0,0.0,60.44,0.5141374600108287,3.00820113024839
30000007:roll:HOUR_4:1780747200000:down,COPPERUSDC,30000007,SHORT,2026-06-06T12:00:00+00:00,2026-06-06T16:45:00+00:00,6.177,6.192106699741137,6.080881831201643,6.36261860269952,True,2026-06-07T01:30:00+00:00,TP1_THEN_SL,0.5,0.0,6.183,0.016213399482272777,0.07552732480657078
30000019:roll:HOUR_4:1780718400000:down,EWJUSDC,30000019,SHORT,2026-06-06T04:00:00+00:00,2026-06-06T17:45:00+00:00,87.9,88.19254274872056,87.05087598085557,2.9025638914590326,False,2026-06-06T20:15:00+00:00,SL,-1.0,0.0,88.09,0.2050854974411059,1.0035039234222736
30000006:roll:HOUR_4:1780891200000:down,XAGUSDC,30000006,SHORT,2026-06-08T04:00:00+00:00,2026-06-08T09:15:00+00:00,67.01,67.28144984605179,66.45561192290019,2.042322311702707,False,2026-06-08T10:00:00+00:00,SL,-1.0,0.0,67.06,0.3028996921035886,0.9424476916007897
30000009:roll:HOUR_4:1780891200000:down,NATGASUSDC,30000009,SHORT,2026-06-08T04:00:00+00:00,2026-06-08T18:30:00+00:00,3.162,3.1741403390232272,3.122930559912804,3.2181506638691935,True,2026-06-09T02:45:00+00:00,SL,-1.0,0.0,3.167,0.01228067804645407,0.039722239651214734
30000017:roll:HOUR_4:1781006400000:down,BZUSDC,30000017,SHORT,2026-06-09T12:00:00+00:00,2026-06-09T20:00:00+00:00,90.77,91.35111476041277,89.11341867311864,2.8506956624276043,False,2026-06-09T21:45:00+00:00,SL,-1.0,0.0,91.13,0.4422295208255493,1.573674692474602
30000033:roll:HOUR_4:1781006400000:down,LITEUSDC,30000033,SHORT,2026-06-09T12:00:00+00:00,2026-06-09T21:00:00+00:00,827.62,836.9679980611878,786.8983520416901,4.356189174598046,True,2026-06-10T00:30:00+00:00,SL,-1.0,0.0,828.77,9.53599612237554,33.35340816676096
